userName,content,score,thumbsUpCount,at
Aaron Putra,WOI SHOPE JANGAN PAKSA DONG DOWNLOAD NYA ELU BUAT IKLAN NYA DI APLIKASI TERUS MALAH KE IKLAN SHOPE. KAMU BUAT TANDA X PALSU. MAU APA? BIAR ADA PROMONYA. GUOBLOK BANGET INI. CEO SHOPE SIAPA SIH? HEH LU BIKIN ORANG KEGANGGU GARA GARA ELU. ELU MIKIR DEH JANGAN BUAT SILANG PALSU BUAT APA COBA?? 😹😹. EDITOR NYA SARANIN JANGAN BUAT TOMBOL X PALSU. SEGUOBLOK NYA APA SIH SAMA ELU. ELU SIH BIKIN ORANG LAIN KEGANGGU SAMA ANAK KAMBING. LU APLIKASI ITU YANG EMANG BUAT IKLAN KEK JANGAN DI APLIKASI LAIN KEK.,1,0,2026-07-01 21:34:10
Aduduuu_,Cukup terbantu dengan adanya Shopee Indonesia ini,5,0,2026-07-01 21:32:58
Ainaya Kaysha,"ganggu, dan iklan nya maksa bgt buat download.",1,0,2026-07-01 21:31:43
Achan Malik,SHOPEE VIP MANTAP PROMONYA 👍,5,0,2026-07-01 21:31:11
Nabila Syafitri,kenapa ketika saya ingin buat pesanan tetapi tidak bisa,1,0,2026-07-01 21:29:34
nareswara gumiwang,"kalo bikin iklan yg niat dong soalnya pas ada iklan sopi ada tombol ""X"" palsu jadinya masuk ke pley stor",1,0,2026-07-01 21:28:20
07.Medina Shahmin Zahara,"dmn dmn selalu ada aja iklan muncul, salah satunya di apk watpad. padahal saya udh punya shoope, bahkan saya ada waktu seharian cm buat mantengin live shoope. what is mean? YA ADA WAKTU. Dear Shopee tercinta, kamu gausa pls ganggu ganggu di semua apk, ga pencet apa apa kebuka kamu lho..., baca cerita aja blm, belum lagi kalo main game online, iklanny ELUUUUU mana riweh bgt, ikon silangny penipu jd buat buka lu, kan jadi gedeg, plsss la jgn kebelet bgt, lu UDH RAMEEE",1,1,2026-07-01 21:27:51
fila fania,maksa iklan,1,0,2026-07-01 21:27:45
EXECUTIONER SPEAKERMAN,iklannya spam,1,0,2026-07-01 21:25:22
Amr Khanz,pngiriman cepat tidak masalah.,5,0,2026-07-01 21:25:10
rukmiati mia,bagus sekali,1,0,2026-07-01 21:25:05
Sudarno Sudarno,blm pernah gagal slalu sesuai pesanan dan cepat,5,0,2026-07-01 21:23:50
Ririi Utary,akmetatitok p,5,0,2026-07-01 21:23:48
Asyifa Qa253,jangan terlalu maksa deh iklan nya,1,0,2026-07-01 21:23:44
Juju Haryoko,harga terjangkau kualitas bagus,5,0,2026-07-01 21:22:51
Courtney McKay,"terkadang pembyaran admin besar, mau hemat uang tpi yah... yaudah. alhamdulillah, rezeki dimana aja. semoga aku selalu mendapatkan rezeki berlimpah, terimakasih untuk layanan shopee.",5,0,2026-07-01 21:19:40
putra maulana,bagus,5,0,2026-07-01 21:19:12
Khady Gondes,maaf y saya hapus ganti apk lain soalnya ganggu banget kebanyakan pemberitahuan yng muncul di layar,1,0,2026-07-01 21:17:14
Ahmad Yani,barang yg sulit dpt mudah dicari dn di dapat di shopee hampir semua serba ada😍👍,5,0,2026-07-01 21:16:41
Choirul Chamim,josjis,5,0,2026-07-01 21:16:16
S.Widodo,good jobs... trima kasih,5,0,2026-07-01 21:15:53
Muhammad Zuhdan Alwi,akun ku semuanya di banned kenapa ?,1,0,2026-07-01 21:14:40
Veli Aulia,IKLANNYA DIKURANGIN YA PUNG.,5,0,2026-07-01 21:14:36
Marem Cellular,Layanan KIRIM PAKET 30 MENIT penipuan Yg betul KIRIM PAKET BERJAM2 Komplainnya RUWET proses Customer Service nya pada TOLOL,1,0,2026-07-01 21:13:48
Robii Kiplii,banyak penipuan,1,0,2026-07-01 21:10:11
Raditya Ramadhan,bagussssss,5,0,2026-07-01 21:09:14
fachri said,good,5,0,2026-07-01 21:08:59
Zaqia Salsabila,mantap,5,0,2026-07-01 21:07:53
YYAYAY,mantap,5,0,2026-07-01 20:59:34
Thego 666,oklah,5,2,2026-07-01 20:59:31
Vikha Mundiahi,sangat puas dengan shoppe,5,0,2026-07-01 20:59:29
Delita Nadila,memudahkan kan kaum yang malas keluar,5,0,2026-07-01 20:58:15
